Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
4/14/2025,11:00:00 PM,143.018,143.177,142.932,142.963,3145,0,13
4/15/2025,12:00:00 AM,142.976,142.983,142.883,142.948,315,0,39
4/15/2025,1:00:00 AM,142.948,143.175,142.928,143.098,2251,0,13
4/15/2025,2:00:00 AM,143.099,143.325,142.998,143.209,4842,0,13
4/15/2025,3:00:00 AM,143.206,143.583,143.17,143.5,6102,0,13
4/15/2025,4:00:00 AM,143.499,143.579,143.263,143.379,5081,0,13
4/15/2025,5:00:00 AM,143.367,143.38,143.091,143.115,4370,0,13
4/15/2025,6:00:00 AM,143.122,143.174,143.04,143.119,3296,0,13
4/15/2025,7:00:00 AM,143.119,143.211,142.897,143.03,3916,0,13
4/15/2025,8:00:00 AM,143.031,143.21,142.981,143.06,4558,0,13
4/15/2025,9:00:00 AM,143.056,143.373,142.838,143.315,5774,0,13
4/15/2025,10:00:00 AM,143.315,143.5,143.263,143.294,5808,0,13
4/15/2025,11:00:00 AM,143.294,143.298,142.833,142.9,6297,0,13
4/15/2025,12:00:00 PM,142.898,142.926,142.674,142.922,5628,0,13
4/15/2025,1:00:00 PM,142.922,142.983,142.828,142.835,4553,0,13
4/15/2025,2:00:00 PM,142.835,143.176,142.814,142.89,5638,0,13
4/15/2025,3:00:00 PM,142.889,142.917,142.588,142.862,6607,0,13
4/15/2025,4:00:00 PM,142.868,143.13,142.765,143.038,7008,0,13
4/15/2025,5:00:00 PM,143.042,143.257,142.664,142.717,8541,0,13
4/15/2025,6:00:00 PM,142.722,143.183,142.68,143.092,6584,0,13
4/15/2025,7:00:00 PM,143.092,143.24,143.044,143.082,5200,0,13
4/15/2025,8:00:00 PM,143.08,143.24,143.032,143.11,5041,0,13
4/15/2025,9:00:00 PM,143.111,143.216,143.108,143.151,4299,0,13
4/15/2025,10:00:00 PM,143.151,143.216,143.131,143.181,3514,0,13
4/15/2025,11:00:00 PM,143.179,143.271,143.125,143.128,1978,0,13
4/16/2025,12:00:00 AM,143.071,143.246,143.071,143.174,175,0,23
4/16/2025,1:00:00 AM,143.174,143.174,142.909,143.049,2480,0,13
4/16/2025,2:00:00 AM,143.049,143.274,143.037,143.151,4054,0,13
4/16/2025,3:00:00 AM,143.151,143.164,142.758,142.882,5791,0,13
